Número de inserções: 2000
350: Erro na insercao [19]
351: Erro na insercao [60]
352: Erro na insercao [30]
353: Erro na insercao [31]
354: Erro na insercao [23]
355: Erro na insercao [18]
356: Erro na insercao [31]
357: Erro na insercao [19]
358: Erro na insercao [19]
359: Erro na insercao [30]
360: Erro na insercao [27]
361: Erro na insercao [22]
362: Erro na insercao [12]
363: Erro na insercao [20]
364: Erro na insercao [12]
365: Erro na insercao [14]
366: Erro na insercao [13]
367: Erro na insercao [30]
368: Erro na insercao [77]
369: Erro na insercao [80]
370: Erro na insercao [15]
371: Inserido com sucesso [46]
372: Erro na insercao [31]
373: Erro na insercao [30]
374: Erro na insercao [25]
375: Erro na insercao [30]
376: Erro na insercao [27]
377: Erro na insercao [31]
378: Inserido com sucesso [44]
379: Erro na insercao [95]
380: Erro na insercao [14]
381: Erro na insercao [11]
382: Erro na insercao [23]
383: Erro na insercao [27]
384: Erro na insercao [26]
385: Erro na insercao [22]
386: Erro na insercao [27]
387: Erro na insercao [20]
388: Erro na insercao [11]
389: Erro na insercao [27]
390: Erro na insercao [18]
391: Erro na insercao [27]
392: Erro na insercao [22]
393: Erro na insercao [20]
394: Erro na insercao [71]
395: Erro na insercao [51]
396: Erro na insercao [11]
397: Erro na insercao [12]
398: Erro na insercao [23]
399: Erro na insercao [13]
400: Erro na insercao [14]
401: Inserido com sucesso [96]
402: Erro na insercao [29]
403: Erro na insercao [16]
404: Erro na insercao [15]
405: Erro na insercao [22]
406: Erro na insercao [18]
407: Erro na insercao [40]
408: Erro na insercao [46]
409: Inserido com sucesso [78]
410: Erro na insercao [16]
411: Erro na insercao [73]
412: Erro na insercao [18]
413: Erro na insercao [31]
414: Erro na insercao [11]
415: Erro na insercao [20]
416: Inserido com sucesso [6]
417: Erro na insercao [22]
418: Erro na insercao [12]
419: Erro na insercao [83]
420: Erro na insercao [24]
421: Erro na insercao [27]
422: Erro na insercao [19]
423: Erro na insercao [14]
424: Erro na insercao [51]
425: Erro na insercao [78]
426: Erro na insercao [19]
427: Erro na insercao [30]
428: Erro na insercao [22]
429: Erro na insercao [12]
430: Inserido com sucesso [86]
431: Erro na insercao [29]
432: Erro na insercao [18]
433: Erro na insercao [31]
434: Erro na insercao [23]
435: Erro na insercao [25]
436: Erro na insercao [61]
437: Erro na insercao [21]
438: Erro na insercao [12]
439: Erro na insercao [31]
440: Erro na insercao [30]
441: Erro na insercao [28]
442: Erro na insercao [25]
443: Erro na insercao [13]
444: Erro na insercao [84]
445: Erro na insercao [31]
446: Erro na insercao [26]
447: Erro na insercao [46]
448: Erro na insercao [15]
449: Erro na insercao [30]
450: Erro na insercao [27]
451: Erro na insercao [15]
452: Erro na insercao [12]
453: Erro na insercao [13]
454: Erro na insercao [78]
455: Erro na insercao [10]
456: Erro na insercao [28]
457: Erro na insercao [64]
458: Erro na insercao [35]
459: Erro na insercao [11]
460: Erro na insercao [13]
461: Erro na insercao [32]
462: Erro na insercao [28]
463: Erro na insercao [23]
464: Erro na insercao [60]
465: Erro na insercao [27]
466: Erro na insercao [12]
467: Erro na insercao [66]
468: Erro na insercao [15]
469: Erro na insercao [12]
470: Erro na insercao [33]
471: Erro na insercao [21]
472: Erro na insercao [20]
473: Erro na insercao [31]
474: Erro na insercao [10]
475: Erro na insercao [25]
476: Erro na insercao [29]
477: Erro na insercao [24]
478: Erro na insercao [29]
479: Erro na insercao [16]
480: Erro na insercao [15]
481: Erro na insercao [19]
482: Erro na insercao [64]
483: Erro na insercao [10]
484: Erro na insercao [31]
485: Erro na insercao [25]
486: Erro na insercao [26]
487: Erro na insercao [17]
488: Erro na insercao [14]
489: Erro na insercao [23]
490: Erro na insercao [29]
491: Erro na insercao [10]
492: Erro na insercao [26]
493: Erro na insercao [14]
494: Erro na insercao [24]
495: Erro na insercao [25]
496: Erro na insercao [94]
497: Erro na insercao [17]
498: Erro na insercao [28]
499: Erro na insercao [19]
500: Erro na insercao [13]
501: Erro na insercao [27]
502: Inserido com sucesso [65]
503: Erro na insercao [31]
504: Erro na insercao [34]
505: Erro na insercao [25]
506: Erro na insercao [57]
507: Erro na insercao [40]
508: Erro na insercao [10]
509: Inserido com sucesso [72]
510: Erro na insercao [29]
511: Erro na insercao [10]
512: Erro na insercao [26]
513: Erro na insercao [29]
514: Erro na insercao [15]
515: Erro na insercao [11]
516: Erro na insercao [22]
517: Erro na insercao [23]
518: Erro na insercao [29]
519: Erro na insercao [16]
520: Erro na insercao [65]
521: Erro na insercao [15]
522: Erro na insercao [19]
523: Erro na insercao [10]
524: Erro na insercao [31]
525: Erro na insercao [95]
526: Erro na insercao [10]
527: Erro na insercao [12]
528: Erro na insercao [13]
529: Erro na insercao [60]
530: Erro na insercao [24]
531: Erro na insercao [89]
532: Erro na insercao [29]
533: Erro na insercao [18]
534: Erro na insercao [86]
535: Erro na insercao [31]
536: Erro na insercao [26]
537: Erro na insercao [16]
538: Inserido com sucesso [75]
539: Erro na insercao [72]
540: Erro na insercao [12]
541: Erro na insercao [25]
542: Erro na insercao [22]
543: Erro na insercao [22]
544: Erro na insercao [24]
545: Erro na insercao [45]
546: Erro na insercao [51]
547: Erro na insercao [19]
548: Erro na insercao [10]
549: Erro na insercao [16]
550: Inserido com sucesso [93]
551: Erro na insercao [71]
552: Erro na insercao [20]
553: Erro na insercao [23]
554: Erro na insercao [95]
555: Erro na insercao [62]
556: Erro na insercao [16]
557: Erro na insercao [23]
558: Erro na insercao [12]
559: Erro na insercao [14]
560: Erro na insercao [19]
561: Erro na insercao [31]
562: Erro na insercao [30]
563: Erro na insercao [42]
564: Erro na insercao [15]
565: Erro na insercao [19]
566: Erro na insercao [24]
567: Erro na insercao [25]
568: Erro na insercao [19]
569: Erro na insercao [22]
570: Erro na insercao [27]
571: Erro na insercao [40]
572: Erro na insercao [13]
573: Erro na insercao [85]
574: Erro na insercao [16]
575: Erro na insercao [80]
576: Erro na insercao [21]
577: Inserido com sucesso [56]
578: Erro na insercao [21]
579: Erro na insercao [20]
580: Erro na insercao [20]
581: Erro na insercao [28]
582: Erro na insercao [29]
583: Erro na insercao [61]
584: Erro na insercao [29]
585: Erro na insercao [36]
586: Erro na insercao [20]
587: Erro na insercao [13]
588: Erro na insercao [16]
589: Erro na insercao [12]
590: Erro na insercao [30]
591: Erro na insercao [85]
592: Erro na insercao [12]
593: Erro na insercao [13]
594: Erro na insercao [32]
595: Erro na insercao [27]
596: Erro na insercao [18]
597: Erro na insercao [12]
598: Erro na insercao [17]
599: Erro na insercao [89]
600: Erro na insercao [30]
601: Erro na insercao [44]
602: Erro na insercao [66]
603: Erro na insercao [28]
604: Erro na insercao [85]
605: Erro na insercao [33]
606: Erro na insercao [70]
607: Erro na insercao [21]
608: Erro na insercao [15]
609: Erro na insercao [10]
610: Erro na insercao [81]
611: Erro na insercao [15]
612: Erro na insercao [20]
613: Erro na insercao [40]
614: Erro na insercao [41]
615: Erro na insercao [12]
616: Erro na insercao [76]
617: Erro na insercao [28]
618: Erro na insercao [24]
619: Erro na insercao [28]
620: Erro na insercao [17]
621: Erro na insercao [12]
622: Erro na insercao [19]
623: Erro na insercao [23]
624: Erro na insercao [25]
625: Erro na insercao [14]
626: Erro na insercao [28]
627: Erro na insercao [10]
628: Erro na insercao [43]
629: Erro na insercao [46]
630: Erro na insercao [42]
631: Erro na insercao [94]
632: Erro na insercao [21]
633: Erro na insercao [12]
634: Erro na insercao [68]
635: Inserido com sucesso [50]
636: Erro na insercao [83]
637: Inserido com sucesso [58]
638: Erro na insercao [31]
639: Erro na insercao [25]
640: Erro na insercao [15]
641: Erro na insercao [12]
642: Erro na insercao [21]
643: Erro na insercao [21]
644: Erro na insercao [67]
645: Erro na insercao [32]
646: Erro na insercao [79]
647: Erro na insercao [89]
648: Erro na insercao [77]
649: Erro na insercao [22]
650: Erro na insercao [80]
651: Erro na insercao [32]
652: Erro na insercao [22]
653: Erro na insercao [12]
654: Erro na insercao [13]
655: Erro na insercao [62]
656: Erro na insercao [99]
657: Erro na insercao [21]
658: Erro na insercao [32]
659: Erro na insercao [32]
660: Erro na insercao [21]
661: Erro na insercao [31]
662: Erro na insercao [13]
663: Erro na insercao [20]
664: Erro na insercao [72]
665: Erro na insercao [26]
666: Erro na insercao [75]
667: Erro na insercao [38]
668: Erro na insercao [79]
669: Erro na insercao [28]
670: Erro na insercao [31]
671: Erro na insercao [15]
672: Erro na insercao [20]
673: Erro na insercao [23]
674: Erro na insercao [14]
675: Erro na insercao [89]
676: Erro na insercao [17]
677: Erro na insercao [24]
678: Erro na insercao [15]
679: Erro na insercao [28]
680: Erro na insercao [26]
681: Erro na insercao [25]
682: Erro na insercao [83]
683: Erro na insercao [23]
684: Erro na insercao [19]
685: Erro na insercao [16]
686: Erro na insercao [30]
687: Erro na insercao [16]
688: Erro na insercao [25]
689: Erro na insercao [27]
690: Erro na insercao [21]
691: Erro na insercao [30]
692: Erro na insercao [38]
693: Erro na insercao [75]
694: Erro na insercao [28]
695: Erro na insercao [10]
696: Erro na insercao [16]
697: Erro na insercao [14]
698: Erro na insercao [43]
699: Erro na insercao [14]
700: Erro na insercao [18]
701: Erro na insercao [28]
702: Erro na insercao [47]
703: Erro na insercao [24]
704: Erro na insercao [87]
705: Erro na insercao [49]
706: Erro na insercao [13]
707: Erro na insercao [27]
708: Erro na insercao [28]
709: Erro na insercao [56]
710: Erro na insercao [28]
711: Erro na insercao [20]
712: Erro na insercao [13]
713: Erro na insercao [26]
714: Erro na insercao [13]
715: Erro na insercao [14]
716: Erro na insercao [96]
717: Erro na insercao [13]
718: Erro na insercao [70]
719: Erro na insercao [14]
720: Erro na insercao [13]
721: Erro na insercao [10]
722: Erro na insercao [22]
723: Erro na insercao [12]
724: Erro na insercao [15]
725: Erro na insercao [11]
726: Erro na insercao [12]
727: Erro na insercao [10]
728: Erro na insercao [30]
729: Erro na insercao [23]
730: Erro na insercao [96]
731: Inserido com sucesso [98]
732: Erro na insercao [22]
733: Erro na insercao [64]
734: Erro na insercao [14]
735: Erro na insercao [24]
736: Erro na insercao [22]
737: Erro na insercao [32]
738: Erro na insercao [24]
739: Erro na insercao [12]
740: Erro na insercao [27]
741: Erro na insercao [16]
742: Erro na insercao [39]
743: Erro na insercao [17]
744: Erro na insercao [13]
745: Erro na insercao [89]
746: Erro na insercao [26]
747: Erro na insercao [31]
748: Erro na insercao [13]
749: Erro na insercao [64]
750: Erro na insercao [27]
751: Erro na insercao [21]
752: Erro na insercao [18]
753: Erro na insercao [15]
754: Erro na insercao [99]
755: Erro na insercao [51]
756: Erro na insercao [52]
757: Erro na insercao [11]
758: Erro na insercao [14]
759: Erro na insercao [25]
760: Erro na insercao [12]
761: Erro na insercao [18]
762: Erro na insercao [19]
763: Erro na insercao [11]
764: Erro na insercao [30]
765: Erro na insercao [30]
766: Erro na insercao [48]
767: Erro na insercao [14]
768: Erro na insercao [22]
769: Erro na insercao [21]
770: Erro na insercao [83]
771: Erro na insercao [15]
772: Erro na insercao [24]
773: Erro na insercao [17]
774: Erro na insercao [14]
775: Erro na insercao [20]
776: Erro na insercao [22]
777: Erro na insercao [35]
778: Erro na insercao [24]
779: Erro na insercao [32]
780: Erro na insercao [16]
781: Erro na insercao [17]
782: Erro na insercao [27]
783: Erro na insercao [22]
784: Erro na insercao [31]
785: Erro na insercao [21]
786: Erro na insercao [28]
787: Erro na insercao [18]
788: Erro na insercao [60]
789: Erro na insercao [23]
790: Erro na insercao [30]
791: Erro na insercao [29]
792: Erro na insercao [92]
793: Erro na insercao [14]
794: Erro na insercao [12]
795: Erro na insercao [25]
796: Erro na insercao [15]
797: Inserido com sucesso [55]
798: Erro na insercao [30]
799: Erro na insercao [25]
800: Erro na insercao [16]
801: Erro na insercao [23]
802: Erro na insercao [47]
803: Erro na insercao [48]
804: Erro na insercao [86]
805: Erro na insercao [16]
806: Erro na insercao [15]
807: Erro na insercao [73]
808: Erro na insercao [13]
809: Erro na insercao [85]
810: Erro na insercao [11]
811: Erro na insercao [12]
812: Erro na insercao [25]
813: Erro na insercao [18]
814: Erro na insercao [26]
815: Erro na insercao [32]
816: Erro na insercao [21]
817: Erro na insercao [67]
818: Erro na insercao [25]
819: Erro na insercao [12]
820: Erro na insercao [32]
821: Erro na insercao [15]
822: Erro na insercao [10]
823: Erro na insercao [14]
824: Erro na insercao [17]
825: Erro na insercao [94]
826: Erro na insercao [18]
827: Erro na insercao [84]
828: Erro na insercao [18]
829: Erro na insercao [10]
830: Erro na insercao [19]
831: Erro na insercao [16]
832: Erro na insercao [30]
833: Erro na insercao [24]
834: Erro na insercao [57]
835: Erro na insercao [31]
836: Erro na insercao [20]
837: Erro na insercao [55]
838: Erro na insercao [14]
839: Erro na insercao [15]
840: Erro na insercao [85]
841: Inserido com sucesso [59]
842: Erro na insercao [86]
843: Erro na insercao [10]
844: Erro na insercao [22]
845: Erro na insercao [30]
846: Erro na insercao [25]
847: Erro na insercao [31]
848: Erro na insercao [52]
849: Erro na insercao [15]
850: Erro na insercao [16]
851: Erro na insercao [30]
852: Erro na insercao [18]
853: Erro na insercao [40]
854: Erro na insercao [17]
855: Erro na insercao [21]
856: Erro na insercao [16]
857: Erro na insercao [18]
858: Erro na insercao [15]
859: Erro na insercao [30]
860: Erro na insercao [65]
861: Erro na insercao [29]
862: Erro na insercao [14]
863: Erro na insercao [13]
864: Erro na insercao [92]
865: Erro na insercao [16]
866: Erro na insercao [19]
867: Erro na insercao [30]
868: Erro na insercao [17]
869: Erro na insercao [26]
870: Erro na insercao [32]
871: Erro na insercao [27]
872: Erro na insercao [12]
873: Erro na insercao [24]
874: Erro na insercao [30]
875: Erro na insercao [29]
876: Erro na insercao [12]
877: Erro na insercao [23]
878: Erro na insercao [10]
879: Erro na insercao [13]
880: Erro na insercao [17]
881: Erro na insercao [30]
882: Erro na insercao [17]
883: Erro na insercao [32]
884: Erro na insercao [11]
885: Erro na insercao [22]
886: Erro na insercao [32]
887: Erro na insercao [87]
888: Erro na insercao [51]
889: Erro na insercao [81]
890: Erro na insercao [80]
891: Erro na insercao [16]
892: Erro na insercao [23]
893: Erro na insercao [27]
894: Erro na insercao [30]
895: Erro na insercao [86]
896: Erro na insercao [97]
897: Erro na insercao [25]
898: Erro na insercao [51]
899: Erro na insercao [20]
900: Erro na insercao [65]
901: Erro na insercao [66]
902: Erro na insercao [11]
903: Erro na insercao [24]
904: Erro na insercao [13]
905: Erro na insercao [20]
906: Erro na insercao [31]
907: Erro na insercao [16]
908: Erro na insercao [30]
909: Erro na insercao [21]
910: Erro na insercao [16]
911: Erro na insercao [24]
912: Erro na insercao [84]
913: Erro na insercao [45]
914: Erro na insercao [30]
915: Erro na insercao [27]
916: Erro na insercao [11]
917: Erro na insercao [23]
918: Erro na insercao [21]
919: Erro na insercao [15]
920: Erro na insercao [28]
921: Erro na insercao [24]
922: Erro na insercao [18]
923: Erro na insercao [34]
924: Erro na insercao [31]
925: Erro na insercao [16]
926: Erro na insercao [30]
927: Erro na insercao [16]
928: Erro na insercao [87]
929: Erro na insercao [31]
930: Erro na insercao [34]
931: Erro na insercao [33]
932: Erro na insercao [11]
933: Erro na insercao [19]
934: Erro na insercao [59]
935: Erro na insercao [64]
936: Erro na insercao [16]
937: Erro na insercao [25]
938: Erro na insercao [15]
939: Erro na insercao [10]
940: Erro na insercao [31]
941: Erro na insercao [26]
942: Erro na insercao [28]
943: Erro na insercao [25]
944: Erro na insercao [13]
945: Erro na insercao [67]
946: Erro na insercao [43]
947: Erro na insercao [10]
948: Erro na insercao [32]
949: Erro na insercao [54]
950: Erro na insercao [31]
951: Erro na insercao [16]
952: Erro na insercao [17]
953: Erro na insercao [16]
954: Erro na insercao [31]
955: Erro na insercao [14]
956: Erro na insercao [96]
957: Erro na insercao [26]
958: Erro na insercao [23]
959: Erro na insercao [14]
960: Erro na insercao [31]
961: Erro na insercao [26]
962: Erro na insercao [60]
963: Erro na insercao [28]
964: Erro na insercao [74]
965: Erro na insercao [24]
966: Erro na insercao [22]
967: Erro na insercao [22]
968: Erro na insercao [10]
969: Erro na insercao [29]
970: Erro na insercao [36]
971: Erro na insercao [30]
972: Erro na insercao [17]
973: Erro na insercao [26]
974: Erro na insercao [16]
975: Erro na insercao [28]
976: Erro na insercao [15]
977: Erro na insercao [22]
978: Erro na insercao [50]
979: Erro na insercao [21]
980: Erro na insercao [85]
981: Erro na insercao [18]
982: Erro na insercao [26]
983: Erro na insercao [66]
984: Erro na insercao [18]
985: Erro na insercao [19]
986: Erro na insercao [20]
987: Erro na insercao [21]
988: Erro na insercao [17]
989: Erro na insercao [33]
990: Erro na insercao [24]
991: Erro na insercao [30]
992: Erro na insercao [22]
993: Erro na insercao [23]
994: Erro na insercao [21]
995: Erro na insercao [18]
996: Erro na insercao [16]
997: Erro na insercao [30]
998: Erro na insercao [16]
999: Erro na insercao [60]
1000: Erro na insercao [11]
1001: Erro na insercao [28]
1002: Erro na insercao [32]
1003: Erro na insercao [46]
1004: Inserido com sucesso [88]
1005: Erro na insercao [28]
1006: Erro na insercao [30]
1007: Erro na insercao [29]
1008: Erro na insercao [17]
1009: Erro na insercao [22]
1010: Erro na insercao [32]
1011: Erro na insercao [23]
1012: Erro na insercao [20]
1013: Erro na insercao [31]
1014: Erro na insercao [21]
1015: Erro na insercao [22]
1016: Erro na insercao [27]
1017: Erro na insercao [10]
1018: Erro na insercao [12]
1019: Erro na insercao [14]
1020: Erro na insercao [59]
1021: Erro na insercao [98]
1022: Erro na insercao [11]
1023: Erro na insercao [19]
1024: Erro na insercao [66]
1025: Erro na insercao [14]
1026: Erro na insercao [78]
1027: Erro na insercao [11]
1028: Erro na insercao [14]
1029: Erro na insercao [29]
1030: Erro na insercao [28]
1031: Erro na insercao [58]
1032: Erro na insercao [90]
1033: Erro na insercao [48]
1034: Erro na insercao [24]
1035: Erro na insercao [15]
1036: Erro na insercao [76]
1037: Erro na insercao [18]
1038: Erro na insercao [86]
1039: Erro na insercao [74]
1040: Erro na insercao [26]
1041: Erro na insercao [24]
1042: Erro na insercao [49]
1043: Erro na insercao [23]
1044: Erro na insercao [11]
1045: Erro na insercao [27]
1046: Erro na insercao [15]
1047: Erro na insercao [22]
1048: Erro na insercao [26]
1049: Erro na insercao [21]
1050: Erro na insercao [21]
1051: Erro na insercao [30]
1052: Erro na insercao [19]
1053: Erro na insercao [25]
1054: Erro na insercao [11]
1055: Erro na insercao [17]
1056: Erro na insercao [25]
